代币,交易次数,总投入(SOL),总套现(SOL),净利润(SOL),回报率(%),状态
mkvXiN...,3,100.05,88.46,-11.6,-11.59,❌ 亏损
62Csqu...,3,75.05,63.16,-11.89,-15.85,❌ 亏损
2akXpu...,3,100.05,87.37,-12.69,-12.68,❌ 亏损
4KdRXL...,2,25.03,12.33,-12.7,-50.74,❌ 亏损
2dTj1m...,2,13.05,0.0,-13.05,-100.0,❌ 亏损
675nAc...,2,25.03,11.97,-13.06,-52.17,❌ 亏损
Eiog5m...,2,30.03,16.23,-13.8,-45.96,❌ 亏损
8dXhKv...,1,15.0,0.0,-15.0,-100.0,❌ 亏损
6MWw4y...,1,15.03,0.0,-15.03,-100.0,❌ 亏损
FinGXg...,1,15.03,0.0,-15.03,-100.0,❌ 亏损
Gpm4MP...,1,15.03,0.0,-15.03,-100.0,❌ 亏损
BNXQqg...,1,15.03,0.0,-15.03,-100.0,❌ 亏损
Anarbv...,1,15.03,0.0,-15.03,-100.0,❌ 亏损
6fpdVs...,1,15.03,0.0,-15.03,-100.0,❌ 亏损
3eKEQD...,1,15.03,0.0,-15.03,-100.0,❌ 亏损
5AV1wk...,1,15.03,0.0,-15.03,-100.0,❌ 亏损
CBbxJi...,1,15.03,0.0,-15.03,-100.0,❌ 亏损
GJ3n4o...,1,15.03,0.0,-15.03,-100.0,❌ 亏损
